期权代码,期权名称,最新价,涨跌幅,行权价,折溢价率,标的名称,标的最新价,标的涨跌幅,盈亏平衡价,到期日
10009047,500ETF购9月7250,0.1711,371.35,7.25,-0.15,中证500ETF,7.432,2.13,7.421,2025-09-24
10009853,科创板50购9月1450,0.0357,257.0,1.45,-0.62,科创板50ETF,1.495,3.68,1.486,2025-09-24
10009837,科创50购9月1450,0.068,126.67,1.45,-0.78,科创50ETF,1.53,3.73,1.518,2025-09-24
10008821,300ETF沽9月3520A,0.0002,100.0,3.52,24.52,沪深300ETF,4.663,0.89,3.52,2025-09-24
10008824,300ETF沽9月3814A,0.0002,100.0,3.814,18.21,沪深300ETF,4.663,0.89,3.814,2025-09-24
10009803,科创板50购9月1400,0.0851,98.37,1.4,-0.66,科创板50ETF,1.495,3.68,1.485,2025-09-24
10009932,500ETF购10月7750,0.0609,67.77,7.75,5.1,中证500ETF,7.432,2.13,7.811,2025-10-22
10009629,300ETF购9月4600,0.0513,66.56,4.6,-0.25,沪深300ETF,4.663,0.89,4.651,2025-09-24
10009931,500ETF购10月7500,0.131,66.45,7.5,2.68,中证500ETF,7.432,2.13,7.631,2025-10-22
10008929,科创50购9月1400,0.12,58.73,1.4,-0.65,科创50ETF,1.53,3.73,1.52,2025-09-24
10009930,500ETF购10月7250,0.2537,58.56,7.25,0.96,中证500ETF,7.432,2.13,7.504,2025-10-22
10009986,科创50购10月1650,0.0309,56.85,1.65,9.86,科创50ETF,1.53,3.73,1.681,2025-10-22
10010033,科创50购10月1700,0.0205,52.99,1.7,12.45,科创50ETF,1.53,3.73,1.721,2025-10-22
10009985,科创50购10月1600,0.043,52.48,1.6,7.39,科创50ETF,1.53,3.73,1.643,2025-10-22
10008903,500ETF购9月7000,0.4193,51.37,7.0,-0.17,中证500ETF,7.432,2.13,7.419,2025-09-24
10009999,科创板50购10月1550,0.047,49.21,1.55,6.82,科创板50ETF,1.495,3.68,1.597,2025-10-22
10010009,500ETF购10月8250,0.0167,49.11,8.25,11.23,中证500ETF,7.432,2.13,8.267,2025-10-22
10009951,科创50购10月1550,0.0588,48.11,1.55,5.15,科创50ETF,1.53,3.73,1.609,2025-10-22
10009838,科创50购9月1500,0.01,47.06,1.5,-1.31,科创50ETF,1.53,3.73,1.51,2025-09-24
10010000,科创板50购10月1600,0.0319,46.33,1.6,9.16,科创板50ETF,1.495,3.68,1.632,2025-10-22
10008923,科创板50购9月1350,0.1341,45.76,1.35,-0.73,科创板50ETF,1.495,3.68,1.484,2025-09-24
10009929,500ETF购10月7000,0.4343,45.54,7.0,0.03,中证500ETF,7.432,2.13,7.434,2025-10-22
10009933,500ETF购10月8000,0.0296,45.1,8.0,8.04,中证500ETF,7.432,2.13,8.03,2025-10-22
10010041,科创板50购10月1650,0.0217,41.83,1.65,11.82,科创板50ETF,1.495,3.68,1.672,2025-10-22
10009969,科创板50购10月1500,0.0624,41.5,1.5,4.51,科创板50ETF,1.495,3.68,1.562,2025-10-22
10008911,科创50购9月1350,0.176,39.9,1.35,-0.26,科创50ETF,1.53,3.73,1.526,2025-09-24
10009950,科创50购10月1500,0.079,39.82,1.5,3.2,科创50ETF,1.53,3.73,1.579,2025-10-22
10009967,科创板50购10月1400,0.113,36.47,1.4,1.2,科创板50ETF,1.495,3.68,1.513,2025-10-22
10009968,科创板50购10月1450,0.0842,35.81,1.45,2.62,科创板50ETF,1.495,3.68,1.534,2025-10-22
10009949,科创50购10月1450,0.1052,35.04,1.45,1.65,科创50ETF,1.53,3.73,1.555,2025-10-22
10009829,500ETF购12月8000,0.1189,32.26,8.0,9.24,中证500ETF,7.432,2.13,8.119,2025-12-24
10009769,500ETF购12月7750,0.1713,32.07,7.75,6.58,中证500ETF,7.432,2.13,7.921,2025-12-24
10009745,500ETF购12月7500,0.25,31.37,7.5,4.28,中证500ETF,7.432,2.13,7.75,2025-12-24
10010043,科创板50购12月1650,0.0646,31.03,1.65,14.69,科创板50ETF,1.495,3.68,1.715,2025-12-24
10009615,500ETF购12月7250,0.3533,30.8,7.25,2.3,中证500ETF,7.432,2.13,7.603,2025-12-24
10010011,500ETF购12月8250,0.0809,30.69,8.25,12.09,中证500ETF,7.432,2.13,8.331,2025-12-24
10010003,科创板50购12月1600,0.0757,30.29,1.6,12.09,科创板50ETF,1.495,3.68,1.676,2025-12-24
10010035,科创50购12月1700,0.0613,29.87,1.7,15.12,科创50ETF,1.53,3.73,1.761,2025-12-24
10009948,科创50购10月1400,0.1359,29.68,1.4,0.39,科创50ETF,1.53,3.73,1.536,2025-10-22
10009966,科创板50购10月1350,0.1459,29.57,1.35,0.06,科创板50ETF,1.495,3.68,1.496,2025-10-22
10009039,50ETF购9月3000,0.0696,28.89,3.0,-0.08,上证50ETF,3.072,0.59,3.07,2025-09-24
10009507,500ETF购12月7000,0.493,28.82,7.0,0.82,中证500ETF,7.432,2.13,7.493,2025-12-24
10009885,科创板50购12月1550,0.0884,28.12,1.55,9.59,科创板50ETF,1.495,3.68,1.638,2025-12-24
10008887,500ETF购9月6750,0.6681,26.77,6.75,-0.19,中证500ETF,7.432,2.13,7.418,2025-09-24
10009607,300ETF购9月4500,0.1546,26.72,4.5,-0.18,沪深300ETF,4.663,0.89,4.655,2025-09-24
10008915,科创板50购9月1300,0.1798,26.62,1.3,-1.02,科创板50ETF,1.495,3.68,1.48,2025-09-24
10009965,科创板50购10月1300,0.1863,26.05,1.3,-0.58,科创板50ETF,1.495,3.68,1.486,2025-10-22
10010037,科创50购3月1700,0.0937,25.94,1.7,17.24,科创50ETF,1.53,3.73,1.794,2026-03-25
10009947,科创50购10月1350,0.175,25.9,1.35,-0.33,科创50ETF,1.53,3.73,1.525,2025-10-22
10008893,科创50购9月1300,0.2193,25.31,1.3,-0.7,科创50ETF,1.53,3.73,1.519,2025-09-24
10009261,500ETF购12月6750,0.6569,24.65,6.75,-0.34,中证500ETF,7.432,2.13,7.407,2025-12-24
10009857,科创板50购12月1450,0.1238,24.3,1.45,5.27,科创板50ETF,1.495,3.68,1.574,2025-12-24
10008889,科创板50购9月1250,0.2384,24.17,1.25,-0.44,科创板50ETF,1.495,3.68,1.488,2025-09-24
10009928,500ETF购10月6750,0.6542,24.14,6.75,-0.37,中证500ETF,7.432,2.13,7.404,2025-10-22
10009858,科创板50购12月1500,0.104,24.11,1.5,7.29,科创板50ETF,1.495,3.68,1.604,2025-12-24
10009805,科创板50购12月1400,0.1465,24.05,1.4,3.44,科创板50ETF,1.495,3.68,1.547,2025-12-24
10009677,500ETF购3月7250,0.416,23.88,7.25,3.15,中证500ETF,7.432,2.13,7.666,2026-03-25
10009747,500ETF购3月7500,0.3222,23.88,7.5,5.25,中证500ETF,7.432,2.13,7.822,2026-03-25
